Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
PEUGEOT 208,19480.0,14-06-2021,1,42000,Essence,Boîte automatique,5,100
PEUGEOT 208,18480.0,09-06-2021,1,38000,Essence,Boîte manuelle,5,100
PEUGEOT 208,18480.0,18-05-2021,1,43000,Essence,Boîte manuelle,5,100
PEUGEOT 2008,23890.0,03-06-2021,1,31700,Essence,Boîte automatique,7,130
SKODA SUPERB,16480.0,22-03-2018,1,103700,Diesel,Boîte automatique,6,120
RENAULT SCENIC,8480.0,24-03-2010,1,122700,Diesel,Boîte automatique,9,150
MG MARVEL R,39980.0,11-10-2021,1,15000,Electrique,Boîte automatique,5,180
BMW SERIE 1,19880.0,11-02-2015,1,95300,Diesel,Boîte manuelle,10,184
MERCEDES CLASSE E,13880.0,16-07-2009,1,152500,Diesel,Boîte automatique,11,231
PORSCHE MACAN,44890.0,28-07-2016,1,101700,Essence,Boîte automatique,15,250
DACIA SANDERO,12480.0,10-01-2020,1,39900,Essence,Boîte manuelle,5,90
LYNK & CO 01,34890.0,18-03-2022,1,9800,Hybrides,Boîte automatique,0,180
VOLVO S90,33890.0,20-02-2017,1,46900,Essence,Boîte automatique,21,320
MERCEDES GLA,23480.0,03-07-2014,1,35000,Diesel,Boîte automatique,7,136
MG EHS,30890.0,26-11-2021,1,22000,Hybrides,Boîte automatique,8,162
FIAT 500,14980.0,30-11-2020,1,35500,Essence,Boîte automatique,4,69
BMW SERIE 6,41890.0,02-10-2015,1,72500,Essence,Boîte automatique,34,450
VOLKSWAGEN PASSAT,17890.0,14-05-2018,1,112000,Essence,Boîte automatique,8,150
BMW SERIE 7,22880.0,05-12-2008,1,114800,Diesel,Boîte automatique,15,245
CITROEN C3 AIRCROSS,13890.0,21-03-2019,1,109200,Essence,Boîte manuelle,5,110
DACIA SANDERO,7480.0,26-06-2015,1,96600,Essence,Boîte manuelle,5,75
PEUGEOT EXPERT,9890.0,29-09-2009,1,126400,Diesel,Boîte manuelle,7,120
PEUGEOT 3008,24480.0,26-09-2019,1,112200,Essence,Boîte automatique,10,180
NISSAN QASHQAI,17690.0,25-11-2019,1,104000,Essence,Boîte manuelle,7,140
AUDI A3,19480.0,13-04-2017,1,82000,Diesel,Boîte automatique,6,116
SMART FORTWO,8890.0,22-12-2014,1,53200,Essence,Boîte manuelle,4,71
PEUGEOT 308,17480.0,12-08-2019,1,102400,Essence,Boîte automatique,7,130
FIAT 500 X,14480.0,22-12-2016,1,52000,Essence,Boîte manuelle,8,140
