Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
Dacia Duster,26399.0,01/06/2022,1,0,Essence,Boîte manuelle 6 rapports,8.0,150.0
Peugeot 208,9999.0,28/05/2015,0,89465,Essence,Boîte manuelle 5 rapports,4.0,68.0
Peugeot 3008,15999.0,11/01/2016,0,106075,Essence,Boîte automatique 6 rapports,9.0,165.0
Dacia Sandero,10699.0,10/11/2020,0,39019,Essence,Boîte manuelle 5 rapports,4.0,73.0
Renault Clio 4,10999.0,11/07/2013,0,94388,Essence,Boîte manuelle 5 rapports,5.0,90.0
Peugeot 308,14999.0,10/03/2016,0,92096,Essence,Boîte automatique 6 rapports,6.0,130.0
Volkswagen Polo,10499.0,10/12/2014,0,88807,Essence,Boîte manuelle 5 rapports,4.0,60.0
Renault Clio 5,18999.0,01/12/2022,1,0,Essence,Boîte manuelle 6 rapports,5.0,91.0
Renault Twingo 3,9599.0,18/12/2014,0,62376,Essence,Boîte manuelle 5 rapports,4.0,70.0
Renault Kadjar,16499.0,22/06/2016,0,79245,Essence,Boîte automatique 7 rapports,7.0,130.0
Fiat 500,9499.0,29/09/2014,0,49114,Essence,Boîte manuelle 5 rapports,4.0,69.0
Toyota Yaris,10999.0,22/04/2015,0,50502,Essence,Boîte manuelle 5 rapports,4.0,69.0
Nissan Qashqai,14999.0,23/12/2016,0,94614,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Peugeot 308 Nouvelle,26999.0,30/11/2022,1,0,Essence,Boîte manuelle 6 rapports,7.0,130.0
Renault Zoé,9699.0,28/04/2015,0,44394,165 km,Électrique,,1.0
Citroën C4 Cactus,12799.0,21/06/2017,0,93365,Diesel,Boîte manuelle 5 rapports,5.0,99.0
Renault Mégane 4,12999.0,26/04/2017,0,112715,Essence,Boîte manuelle 6 rapports,5.0,100.0
Ford PUMA,25299.0,01/11/2022,1,0,Micro-hybride essence,Boîte automatique 7 rapports,6.0,125.0
Volkswagen Tiguan,13699.0,17/06/2013,0,146515,Diesel,Boîte manuelle 6 rapports,8.0,140.0
Citroën C5 Aircross,30499.0,30/09/2022,1,0,Essence,Boîte automatique 8 rapports,7.0,131.0
BMW Série 1,13799.0,30/09/2014,0,125596,Diesel,Boîte manuelle 6 rapports,5.0,95.0
Opel Corsa Nouvelle,17999.0,25/10/2022,1,0,Essence,Boîte manuelle 6 rapports,5.0,100.0
Opel Corsa,10799.0,29/10/2018,0,82657,Essence,Boîte manuelle 5 rapports,5.0,90.0
Ford Fiesta,10499.0,31/05/2016,0,86164,Essence,Boîte manuelle 5 rapports,5.0,82.0
Volkswagen TAIGO,25999.0,31/10/2022,1,0,Essence,Boîte manuelle 6 rapports,6.0,110.0
Nissan Juke,11699.0,26/06/2015,0,84482,Essence,Boîte manuelle 6 rapports,6.0,115.0
Peugeot 108,9399.0,08/03/2018,0,43284,Essence,Boîte manuelle 5 rapports,4.0,68.0
Toyota AYGO,10499.0,10/06/2019,0,40115,Essence,Boîte manuelle 5 rapports,4.0,69.0
Peugeot 308 SW,13999.0,19/06/2017,0,120771,Diesel,Boîte manuelle 6 rapports,5.0,120.0
Citroën Berlingo,17899.0,06/05/2019,0,22296,138 km,Électrique,,1.0
Citroën C1,10599.0,29/08/2017,0,36668,Essence,Boîte manuelle 5 rapports,4.0,68.0
Mercedes GLA,18999.0,23/01/2015,0,100349,Diesel,Boîte manuelle 6 rapports,7.0,136.0
Mercedes Classe A,19999.0,02/05/2017,0,91522,Essence,Boîte manuelle 6 rapports,6.0,102.0
Fiat 500X,11999.0,27/04/2015,0,110002,Essence,Boîte manuelle 6 rapports,8.0,140.0
Citroën C4,11499.0,10/03/2016,0,105311,Essence,Boîte manuelle 5 rapports,6.0,110.0
Audi A3 Sportback,17199.0,30/06/2015,0,81456,Essence,Boîte manuelle 6 rapports,6.0,110.0
Renault Clio 4 Société,8999.0,16/12/2016,0,90323,,,4.0,75.0
Toyota C-HR,21999.0,01/06/2017,0,90935,Hybride essence,Boîte automatique 1 rapport,4.0,98.0
Renault Captur Nouveau,25259.0,01/09/2022,1,0,Micro-hybride essence,Boîte manuelle 6 rapports,7.0,140.0
Nissan Micra,9499.0,26/11/2014,0,81099,Essence,Boîte manuelle 5 rapports,4.0,80.0
Kia Rio,8999.0,22/10/2013,0,110000,Diesel,Boîte manuelle 6 rapports,4.0,75.0
Audi A1,12999.0,02/02/2012,0,102827,Essence,Boîte automatique 7 rapports,6.0,122.0
Opel Mokka,10999.0,28/03/2014,0,144284,Diesel,Boîte manuelle 6 rapports,7.0,130.0
Volkswagen Up,8799.0,03/01/2013,0,55649,Essence,Boîte manuelle 5 rapports,3.0,60.0
Mini Mini,14299.0,15/04/2015,0,81516,Diesel,Boîte manuelle 6 rapports,5.0,116.0
Fiat Tipo,10999.0,30/11/2016,0,90978,Diesel,Boîte manuelle 5 rapports,5.0,95.0
Citroën C4 Picasso,13499.0,24/05/2016,0,90390,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Volkswagen T-Roc,19999.0,26/01/2019,0,85106,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Fiat 500C,9499.0,28/03/2013,0,93868,Diesel,Boîte manuelle 5 rapports,5.0,95.0
Renault Scenic 3,10999.0,30/10/2014,0,99300,Essence,Boîte manuelle 6 rapports,6.0,115.0
BMW X1,17999.0,16/03/2015,0,91606,Diesel,Boîte automatique 8 rapports,8.0,143.0
Dacia Lodgy,10999.0,05/03/2014,0,143000,Diesel,Boîte manuelle 6 rapports,6.0,110.0
Renault Twizy,7999.0,27/07/2018,0,3133,,,,2.0
Toyota Aygo X,17999.0,10/10/2022,1,0,Essence,Boîte manuelle 5 rapports,4.0,72.0
Renault Clio 4 Estate,12999.0,30/01/2017,0,70725,Essence,Boîte manuelle 5 rapports,5.0,90.0
DS DS 3,10299.0,18/09/2014,0,117332,Diesel,Boîte manuelle 5 rapports,4.0,68.0
Opel Karl,10499.0,27/09/2017,0,4689,Essence,Boîte manuelle 5 rapports,4.0,75.0
Ford Focus,11499.0,06/02/2015,0,113760,Diesel,Boîte manuelle 6 rapports,6.0,120.0
Skoda Fabia,11499.0,26/10/2015,0,85386,Diesel,Boîte manuelle 5 rapports,4.0,90.0
Peugeot 508,9699.0,22/04/2014,0,140094,Diesel,Boîte manuelle,7.0,140.0
Suzuki Swift,10999.0,28/09/2013,0,100697,Essence,Boîte manuelle 6 rapports,9.0,136.0
Volkswagen Golf Sportsvan,11999.0,11/06/2014,0,122056,Diesel,Boîte manuelle 6 rapports,5.0,110.0
Audi A1 Sportback,19099.0,16/10/2017,0,48219,Diesel,Boîte manuelle,6.0,116.0
Peugeot 308 AFFAIRE,11499.0,19/10/2017,0,78864,,,5.0,100.0
Audi A3 Sportback Nouvelle,31699.0,15/06/2022,1,0,Micro-hybride essence,Boîte automatique 7 rapports,8.0,150.0
Fiat 500 L,9999.0,31/10/2013,0,111991,Diesel,Boîte manuelle 6 rapports,5.0,105.0
Ford Ecosport,12799.0,30/06/2017,0,66951,Essence,Boîte manuelle 5 rapports,7.0,125.0
Ford KA,8699.0,30/03/2015,0,110779,Essence,Boîte manuelle 5 rapports,4.0,69.0
Seat Ibiza,10499.0,07/01/2014,0,83075,Diesel,Boîte manuelle 5 rapports,4.0,75.0
Citroën C3 Picasso,10899.0,31/05/2016,0,110705,Essence,Boîte manuelle 5 rapports,6.0,110.0
Alfa Romeo MiTo,10499.0,28/02/2018,0,68134,Essence,Boîte manuelle 5 rapports,5.0,78.0
Renault Mégane 3 Estate,10499.0,26/04/2016,0,129822,Essence,Boîte manuelle 6 rapports,6.0,115.0
Jeep Renegade,18499.0,22/03/2019,0,38898,Essence,Boîte manuelle 6 rapports,7.0,120.0
DS DS7 CROSSBACK,28499.0,10/09/2019,0,49070,Essence,Boîte automatique 8 rapports,9.0,180.0
Toyota Yaris 4 Nouvelle,19999.0,01/12/2022,1,0,Essence,Boîte manuelle 6 rapports,6.0,120.0
Renault Scenic 3,13499.0,06/11/2015,0,75520,Essence,Boîte manuelle 6 rapports,7.0,130.0
Toyota Auris,14999.0,27/02/2014,0,127766,Hybride essence,Boîte automatique 1 rapport,5.0,98.0
Ford Focus SW,10999.0,18/09/2014,0,108334,Diesel,Boîte manuelle 6 rapports,6.0,115.0
Kia Sportage,14999.0,30/11/2015,0,91753,Essence,Boîte manuelle 6 rapports,8.0,135.0
Smart FORFOUR,9999.0,26/02/2015,0,61388,Essence,Boîte manuelle 5 rapports,4.0,90.0
Opel Crossland X,15599.0,31/05/2019,0,49655,Diesel,Boîte manuelle,,5.0
Hyundai i10,10699.0,24/08/2017,0,57333,Essence,Boîte manuelle 5 rapports,5.0,87.0
Opel Meriva,10299.0,27/06/2014,0,107805,Bio éthanol / Essence,Boîte manuelle 5 rapports,6.0,120.0
Renault Mégane 4 Estate,19499.0,02/05/2018,0,70044,Diesel,Boîte automatique 6 rapports,8.0,165.0
Fiat Punto,9999.0,21/12/2016,0,61299,Essence,Boîte manuelle 5 rapports,4.0,69.0
Toyota Yaris,17799.0,12/03/2018,0,37340,Hybride essence,Boîte automatique 1 rapport,3.0,75.0
Hyundai i20 Nouvelle,12999.0,20/07/2018,0,74478,Diesel,Boîte manuelle 6 rapports,4.0,75.0
Mazda CX-5,11999.0,23/07/2013,0,148330,Diesel,Boîte manuelle 6 rapports,8.0,150.0
