,Nom,Prix,Mise_en_circulation,Première Main,Kilometrage,Carburant,Boîte de vitesse,Puissance fiscale,Puissance_din
0,PEUGEOT 208,19480.0,14-06-2021,1.0,42000.0,Essence,Boîte automatique,5.0,100.0
1,PEUGEOT 208,18480.0,09-06-2021,1.0,38000.0,Essence,Boîte manuelle,5.0,100.0
2,PEUGEOT 208,18480.0,18-05-2021,1.0,43000.0,Essence,Boîte manuelle,5.0,100.0
3,PEUGEOT 2008,23890.0,03-06-2021,1.0,31700.0,Essence,Boîte automatique,7.0,130.0
4,SKODA SUPERB,16480.0,22-03-2018,1.0,103700.0,Diesel,Boîte automatique,6.0,120.0
5,RENAULT SCENIC,8480.0,24-03-2010,1.0,122700.0,Diesel,Boîte automatique,9.0,150.0
6,MG MARVEL R,39980.0,11-10-2021,1.0,15000.0,Electrique,Boîte automatique,5.0,180.0
7,BMW SERIE 1,19880.0,11-02-2015,1.0,95300.0,Diesel,Boîte manuelle,10.0,184.0
8,MERCEDES CLASSE E,13880.0,16-07-2009,1.0,152500.0,Diesel,Boîte automatique,11.0,231.0
9,PORSCHE MACAN,44890.0,28-07-2016,1.0,101700.0,Essence,Boîte automatique,15.0,250.0
10,DACIA SANDERO,12480.0,10-01-2020,1.0,39900.0,Essence,Boîte manuelle,5.0,90.0
11,LYNK & CO 01,34890.0,18-03-2022,1.0,9800.0,Hybrides,Boîte automatique,0.0,180.0
12,VOLVO S90,33890.0,20-02-2017,1.0,46900.0,Essence,Boîte automatique,21.0,320.0
13,MERCEDES GLA,23480.0,03-07-2014,1.0,35000.0,Diesel,Boîte automatique,7.0,136.0
14,MG EHS,30890.0,26-11-2021,1.0,22000.0,Hybrides,Boîte automatique,8.0,162.0
15,FIAT 500,14980.0,30-11-2020,1.0,35500.0,Essence,Boîte automatique,4.0,69.0
16,BMW SERIE 6,41890.0,02-10-2015,1.0,72500.0,Essence,Boîte automatique,34.0,450.0
17,VOLKSWAGEN PASSAT,17890.0,14-05-2018,1.0,112000.0,Essence,Boîte automatique,8.0,150.0
18,BMW SERIE 7,22880.0,05-12-2008,1.0,114800.0,Diesel,Boîte automatique,15.0,245.0
19,CITROEN C3 AIRCROSS,13890.0,21-03-2019,1.0,109200.0,Essence,Boîte manuelle,5.0,110.0
20,DACIA SANDERO,7480.0,26-06-2015,1.0,96600.0,Essence,Boîte manuelle,5.0,75.0
21,PEUGEOT EXPERT,9890.0,29-09-2009,1.0,126400.0,Diesel,Boîte manuelle,7.0,120.0
22,PEUGEOT 3008,24480.0,26-09-2019,1.0,112200.0,Essence,Boîte automatique,10.0,180.0
23,NISSAN QASHQAI,17690.0,25-11-2019,1.0,104000.0,Essence,Boîte manuelle,7.0,140.0
24,AUDI A3,19480.0,13-04-2017,1.0,82000.0,Diesel,Boîte automatique,6.0,116.0
25,SMART FORTWO,8890.0,22-12-2014,1.0,53200.0,Essence,Boîte manuelle,4.0,71.0
26,PEUGEOT 308,17480.0,12-08-2019,1.0,102400.0,Essence,Boîte automatique,7.0,130.0
27,FIAT 500 X,14480.0,22-12-2016,1.0,52000.0,Essence,Boîte manuelle,8.0,140.0
28,PEUGEOT 3008,19890.0,16-04-2018,1.0,130700.0,Essence,Boîte automatique,7.0,130.0
29,VOLKSWAGEN GOLF,14480.0,16-02-2012,1.0,121500.0,Essence,Boîte automatique,9.0,160.0
30,RENAULT MEGANE,15880.0,02-02-2018,1.0,56200.0,Essence,Boîte manuelle,7.0,130.0
31,TOYOTA RAV 4,25880.0,11-01-2016,1.0,78500.0,Hybrides,Boîte automatique,8.0,155.0
32,CITROEN C3,7880.0,18-12-2012,1.0,99900.0,Essence,Boîte manuelle,4.0,82.0
33,NISSAN QASHQAI,18880.0,25-11-2019,1.0,100900.0,Essence,Boîte manuelle,7.0,140.0
34,MINI COUNTRYMAN,24480.0,04-02-2016,1.0,71200.0,Essence,Boîte automatique,13.0,218.0
35,PEUGEOT 308,14980.0,22-03-2018,1.0,99000.0,Essence,Boîte manuelle,6.0,110.0
36,RENAULT TWINGO,8980.0,24-09-2015,1.0,50000.0,Essence,Boîte manuelle,4.0,70.0
37,RENAULT CLIO,13480.0,28-06-2013,1.0,60300.0,Essence,Boîte automatique,6.0,120.0
38,FIAT 500,13280.0,31-07-2018,1.0,30200.0,Essence,Boîte manuelle,4.0,69.0
39,VOLKSWAGEN COCCINELLE,14880.0,25-04-2013,1.0,147000.0,Essence,Boîte automatique,6.0,105.0
40,CITROEN GRAND C4 SPACETOURER,19980.0,23-07-2018,1.0,95700.0,Essence,Boîte automatique,9.0,165.0
41,AUDI A1,20480.0,23-03-2017,1.0,51300.0,Essence,Boîte automatique,6.0,125.0
42,BMW X3,23890.0,19-02-2013,1.0,99800.0,Diesel,Boîte automatique,16.0,258.0
43,BMW SERIE 3,17890.0,05-07-2011,1.0,97200.0,Essence,Boîte manuelle,8.0,143.0
44,BMW X1,23480.0,01-07-2016,1.0,94500.0,Diesel,Boîte automatique,8.0,150.0
45,AUDI RS4,45890.0,26-02-2015,1.0,110700.0,Essence,Boîte automatique,35.0,450.0
46,MG MG5 ELECTRIC,30990.0,24-06-2022,1.0,5000.0,Electrique,Boîte automatique,5.0,156.0
47,BMW SERIE 3,18880.0,22-03-2013,1.0,153500.0,Diesel,Boîte automatique,15.0,258.0
48,MINI MINI,9980.0,25-09-2015,1.0,136900.0,Essence,Boîte manuelle,4.0,75.0
49,PEUGEOT 207,7480.0,21-02-2011,1.0,86500.0,Diesel,Boîte manuelle,6.0,112.0
50,BMW SERIE 2,15890.0,19-02-2018,1.0,136500.0,Diesel,Boîte manuelle,6.0,116.0
51,VOLKSWAGEN T-ROC,27480.0,29-08-2018,1.0,34600.0,Diesel,Boîte automatique,8.0,150.0
52,SEAT ATECA,23880.0,11-01-2017,1.0,55700.0,Essence,Boîte automatique,8.0,150.0
53,LOTUS ELISE,24880.0,09-02-2002,1.0,119000.0,Essence,Boîte manuelle,8.0,120.0
54,AUDI Q5,32480.0,08-09-2016,1.0,77400.0,Diesel,Boîte automatique,16.0,258.0
55,MG MG4,31640.0,06-12-2022,1.0,100.0,Electrique,Boîte automatique,5.0,204.0
56,MERCEDES CLASSE E,28480.0,14-04-2014,1.0,71500.0,Diesel,Boîte automatique,15.0,252.0
57,TOYOTA RAV 4,9480.0,01-06-2007,1.0,126200.0,Diesel,Boîte manuelle,8.0,136.0
58,VOLVO C30,11480.0,03-10-2011,1.0,81200.0,Diesel,Boîte manuelle,8.0,150.0
59,PEUGEOT 308,11480.0,29-05-2015,1.0,135000.0,Diesel,Boîte automatique,6.0,120.0
60,AUDI A3,11890.0,10-02-2011,1.0,122000.0,Diesel,Boîte manuelle,5.0,105.0
61,BMW i i8 I12,67890.0,13-02-2015,1.0,90000.0,Hybrides,Boîte automatique,11.0,231.0
62,CITROEN C5,9880.0,07-01-2010,1.0,145800.0,Diesel,Boîte automatique,15.0,240.0
63,VOLVO V40 CROSS COUNTRY,13480.0,27-11-2014,1.0,129700.0,Diesel,Boîte manuelle,8.0,150.0
64,VOLVO XC60,19480.0,21-04-2011,1.0,94500.0,Diesel,Boîte automatique,12.0,205.0
65,TOYOTA LAND CRUISER,18890.0,14-06-2001,1.0,138000.0,Diesel,Boîte manuelle,14.0,130.0
66,SEAT LEON,16890.0,29-07-2015,1.0,103200.0,Diesel,Boîte automatique,8.0,150.0
67,AUDI A5,28880.0,09-10-2017,1.0,84000.0,Essence,Boîte automatique,8.0,150.0
68,AUDI A3,29880.0,30-09-2019,1.0,53600.0,Diesel,Boîte automatique,10.0,184.0
69,MERCEDES CLASSE C,33880.0,26-08-2019,1.0,34500.0,Essence,Boîte automatique,8.0,156.0
70,BMW SERIE 3,36480.0,23-05-2019,1.0,28800.0,Essence,Boîte automatique,10.0,184.0
71,PORSCHE 911,41880.0,14-01-2003,1.0,79200.0,Essence,Boîte automatique,23.0,320.0
72,BMW SERIE 7,45480.0,12-10-2016,1.0,97300.0,Diesel,Boîte automatique,28.0,400.0
73,MERCEDES CLASSE E,47880.0,28-09-2017,1.0,55300.0,Essence,Boîte automatique,22.0,333.0
74,PORSCHE BOXSTER,25480.0,21-03-2005,1.0,89600.0,Essence,Boîte automatique,16.0,240.0
75,PEUGEOT 208,17890.0,24-02-2020,1.0,32300.0,Essence,Boîte manuelle,5.0,100.0
76,MINI MINI CABRIOLET,24290.0,28-02-2017,1.0,38200.0,Essence,Boîte automatique,10.0,192.0
77,JEEP COMPASS,19480.0,16-03-2018,1.0,27800.0,Essence,Boîte manuelle,8.0,140.0
78,CITROEN BERLINGO FOURGON,10480.0,08-12-2017,1.0,136300.0,Diesel,Boîte manuelle,5.0,100.0
79,HYUNDAI TUCSON,18480.0,27-12-2017,1.0,83700.0,Essence,Boîte manuelle,7.0,132.0
80,OPEL ASTRA,8990.0,24-11-2011,1.0,86800.0,Diesel,Boîte manuelle,6.0,110.0
81,DS DS7 CROSSBACK,28880.0,29-09-2019,1.0,59600.0,Essence,Boîte automatique,9.0,180.0
82,PEUGEOT 207,8480.0,06-03-2014,1.0,99600.0,Essence,Boîte manuelle,7.0,120.0
83,PEUGEOT 3008,26880.0,22-12-2018,1.0,72000.0,Essence,Boîte automatique,10.0,180.0
84,MERCEDES CLASSE A,30890.0,23-07-2019,1.0,69500.0,Diesel,Boîte automatique,7.0,150.0
85,RENAULT MEGANE,3480.0,31-07-2002,1.0,136000.0,Diesel,Boîte manuelle,6.0,105.0
86,BMW X1,22890.0,31-07-2017,1.0,56500.0,Diesel,Boîte manuelle,6.0,116.0
87,PORSCHE CAYENNE,27880.0,26-07-2010,1.0,139000.0,Diesel,Boîte automatique,15.0,240.0
88,RENAULT LAGUNA,7480.0,17-05-2011,1.0,155200.0,Diesel,Boîte manuelle,8.0,150.0
89,RENAULT MEGANE,10880.0,25-04-2016,1.0,95500.0,Essence,Boîte manuelle,6.0,115.0
90,VOLKSWAGEN GOLF,,01-10-2020,1.0,13000.0,Essence,Boîte manuelle,7.0,130.0
91,DS DS4,12880.0,11-10-2016,1.0,96600.0,Diesel,Boîte manuelle,6.0,120.0
92,TOYOTA GT86,22480.0,13-08-2012,1.0,103800.0,Essence,Boîte manuelle,12.0,200.0
