,Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
0,92600,248000,79.0,3139,4
1,92270,228000,34.17,6318,2
2,92700,269000,43.17,6231,2
3,92270,199000,33.0,5758,2
4,92220,202464,29.25,6922,1
5,92200,160000,12.0,13300,1
6,92800,210000,27.0,7778,1
7,92700,295000,48.0,6146,2
8,92270,239000,41.0,5829,2
9,92250,264000,54.16,4874,3
10,92160,285000,67.0,4254,4
11,92160,273000,57.42,4754,3
12,92110,255000,34.02,7496,2
13,92500,209000,28.0,7464,1
14,92400,300000,30.0,9500,2
15,92340,248000,40.0,6200,2
16,92400,255000,34.0,7500,2
17,92320,295000,62.0,4758,2
18,92320,181000,28.02,6094,1
19,92700,295000,48.0,6146,2
20,92170,220000,31.0,7097,1
21,92700,285000,64.0,4453,3
22,92270,129000,17.0,7588,1
23,92270,181000,50.14,3610,2
24,92700,283500,45.0,6300,2
25,92100,217000,25.0,8228,2
26,92600,290000,80.0,3625,4
27,92700,288750,75.0,3850,4
28,92700,199000,26.92,7392,1
29,92700,188370,39.05,4824,2
30,92700,244400,39.0,6267,2
31,92700,299000,41.0,7293,3
32,92000,299000,53.0,5453,3
33,92500,255000,67.44,3633,3
34,92600,290000,80.0,3625,3
35,92600,252000,40.0,6300,2
36,92270,275000,53.0,4962,3
37,92600,285000,39.0,6993,1
38,92160,289900,76.0,3814,4
39,92600,179800,34.0,5288,1
40,92500,299000,52.0,5750,3
41,92500,260000,52.0,5000,3
42,92110,263000,43.64,6027,2
43,92290,265 000 à 286 000 €,30 à 33 m²,6027,1
44,92110,245000,30.0,8167,2
45,92240,130000,17.0,7176,1
46,92800,300000,37.0,8108,2
47,92600,280000,41.0,6829,2
48,92600,299000,45.0,6644,2
49,92600,239000,62.0,3855,3
50,92220,267 065 à 271 290 €,47 à 48 m²,3855,2
51,92140,à partir de 299 500 €,37 m² min,3855,1
52,92160,250000,54.0,4630,3
53,92290,265 000 à 286 000 €,31 à 34 m²,4630,1
54,92190,244400,28.0,8729,1
55,92600,271 500 à 294 500 €,30 à 37 m²,8729,1 à 2 pièces
56,92000,299000,47.0,6362,2
57,92500,300000,52.88,5673,2
58,92240,294000,33.45,8371,2
59,92500,265000,46.0,5761,2
60,92700,245000,59.0,4153,3
61,92200,205000,18.0,11400,1
62,92360,223000,71.0,3141,4
63,92500,239500,53.0,4519,2
64,92160,245000,50.0,4900,2
65,92150,233000,22.2,9910,1
66,92600,259000,77.0,3364,4
67,92600,299000,50.0,5980,3
68,92360,254900,65.0,3922,4
69,92100,270000,25.0,10200,1
70,92500,260000,62.0,4194,3
71,92700,150000,21.0,6667,1
72,92000,149000,21.0,7095,1
73,92120,208000,26.67,7424,1
74,92000,219000,29.0,7552,2
75,92700,275000,42.0,6190,2
76,92000,255000,35.04,6849,2
77,92360,223400,54.0,4137,3
78,92250,280000,38.0,7368,2
79,92400,299900,38.0,7892,2
80,92600,234000,30.0,7800,1
81,92350,299999,66.12,4356,4
82,92700,249900,52.0,4806,2
83,92160,260000,57.0,4561,3
84,92160,271000,54.0,5019,3
85,92700,285000,54.0,5278,2
86,92390,210000,55.0,3818,3
87,92500,218000,30.0,7267,1
88,92100,289120,36.41,7635,1
89,92200,275000,23.0,1200,1
90,92800,à partir de 233 200 €,17 à 29 m²,1200,1
91,92600,250000,39.0,6410,2
92,92700,269900,53.85,5012,3
93,92140,300000,41.52,7225,2
94,92700,229000,47.74,4797,2
95,92500,175000,27.0,6481,1
96,92600,244500,40.37,5821,2
97,92160,259000,51.0,4882,3
98,92350,249990,57.0,4386,3
99,92600,299000,45.0,6644,2
100,92100,299500,38.7,7442,2
101,92600,169000,20.0,8450,1
102,92600,185000,38.0,4868,2
