Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92130,300000,41.0,7317,2
92600,181800,24.0,7575,1
92390,219900,59.0,3727,3
92270,299000,39.0,7667,2
92300,190000,21.0,9048,1
92600,290000,36.0,8056,2
92270,285000,43.0,6628,3
92190,229000,27.0,8001,1
92600,279000,42.0,6643,2
92110,240000,33.03,7266,2
92700,268000,54.0,4963,3
92600,298000,45.0,6622,2
92360,212400,56.0,3793,3
92360,218000,55.0,3964,3
92160,244400,55.0,4273,3
92160,250000,45.0,5556,3
92160,260000,68.0,3824,4
92400,300000,44.0,6455,2
92700,130000,25.0,5200,2
92400,199800,33.0,5758,2
92140,254000,25.0,10200,1
92140,254000,36.09,7481,2
92400,224000,26.0,8269,2
92700,130000,31.43,4136,1
92350,277 900 à 299 900 €,34 à 37 m²,4136,1 à 2 pièces
92160,250000,85.0,2941,5
92700,230000,30.0,7667,1
92370,à partir de 288 000 €,1 pièce,7667,Point de vente : 1-5 Rue Paul Cézanne 75008 PARIS
92160,à partir de 287 700 €,41 à 47 m²,7667,2
92130,298000,32.0,9313,1
92160,265000,55.0,4545,3
92270,249000,64.0,3750,2
92600,245000,55.0,4455,2
92360,260000,77.0,3377,4
92700,285000,48.0,5938,2
92110,275000,42.0,6548,2
92360,264000,66.0,4000,4
92300,179500,34.6,4917,1
92140,240 000 à 255 000 €,25 à 28 m²,4917,1
92130,298000,42.0,7095,2
92400,199000,22.14,8988,1
92700,à partir de 286 000 €,43 m² min,8988,2
92500,294000,50.0,5880,3
92600,249000,30.0,7967,1
92230,237 000 à 297 000 €,40 à 58 m²,7967,1 à 3 pièces
92230,192000,27.0,7111,1
92360,196500,56.0,3509,3
92360,199500,56.0,3563,3
92360,212700,56.0,3798,3
92360,257900,77.0,3349,4
92500,à partir de 257 000 €,29 m² min,3349,1
92240,250000,34.0,7000,2
92700,230 000 à 285 000 €,25 à 40 m²,7000,1 à 2 pièces
92110,235000,30.0,7833,2
92700,265000,48.0,5521,3
92160,265000,64.0,3953,3
92390,183 000 à 295 000 €,27 à 66 m²,3953,1 à 3 pièces
92390,212 000 à 287 000 €,39 à 69 m²,3953,2 à 3 pièces
92700,169900,30.0,5663,1
92140,258000,32.31,7985,1
92390,209 800 à 329 000 €,29 à 68 m²,7985,1 à 3 pièces
92230,247 000 à 293 000 €,36 à 47 m²,7985,1 à 2 pièces
92150,285000,33 à 36 m²,7985,1
92700,à partir de 269 000 €,36 m² min,7985,2
92600,à partir de 289 000 €,40 m² min,7985,2
92290,251 000 à 293 000 €,33 à 36 m²,7985,1
92380,à partir de 290 000 €,36.21,7985,1
92700,à partir de 269 300 €,30 à 32 m²,7985,1
92700,275000,57.0,4825,3
92500,265000,28.73,9224,1
92150,268 000 à 290 000 €,24 à 27 m²,9224,1
92700,254 787 à 288 910 €,30 à 35 m²,9224,1
92290,269025,42.25,6367,2
92260,255000,54.73,4659,3
92140,255000,40.0,6375,2
92800,300000,38.0,7895,2
92700,149000,20.0,7450,1
92700,299000,51.0,5686,2
92200,106000,7.92,12600,1
92000,269000,41.8,6435,12 m² de terrain
92130,248000,30.13,8231,1
92360,199000,55.0,3618,3
92250,262500,37.0,7095,2
92130,275000,44.0,6250,3
92700,265000,69.33,3822,4
92600,165000,19.0,8263,1
92140,185000,31.63,5849,2
92360,244600,63.0,3883,3
92360,239000,74.0,3081,3
92140,130000,19.0,6842,1
92160,165000,32.0,5156,1
92290,299000,69.0,4187,2
92350,299000,67.0,4312,3
92600,120000,14.0,8000,1
92600,208000,34.0,5882,1
92500,210000,33.47,6274,1
92600,219000,67.0,3269,3
92600,248000,47.71,4998,3
92600,269000,62.0,4339,3
92120,210000,28.4,7042,2
92700,170369,30.0,5679,2
92140,260000,38.0,6645,3
92170,135000,18.0,7111,1
92370,230000,31.0,7419,1
92160,173000,24.0,7208,1
92160,270000,57.0,4737,3
92260,254000,57.0,4456,3
92700,215000,54.0,3981,3
92600,249000,44.0,5659,2
92120,297150,34.6,8179,2
92600,295000,74.0,3986,3
92290,299000,82.0,3646,4
92310,96000,18.5,5189,1
92400,189000,25.05,7545,1
92700,295000,47.6,6197,2
92700,177000,32.0,5313,2
92400,80000,10.0,8000,1
92700,258000,64.0,4031,4
92160,272000,62.02,4192,3
92230,199000,44.0,4523,3
92700,165000,24.0,6875,1
92260,79000,14.0,5429,1
92190,220000,55.0,4000,3
92700,149000,20.0,7450,1
92700,245000,42.07,5824,3
92500,219000,55.0,3982,2
92170,242000,41.0,5902,2
92600,275000,41.0,6707,2
92240,197000,26.0,7115,2
92140,179500,30.0,5983,2
92260,299000,69.0,4333,4
92100,180000,22.0,8182,1
92700,226000,65.0,3477,4
92600,219000,29.0,7552,1
92360,205000,56.0,3661,3
92700,290000,77.31,3751,4
92370,298000,56.0,5321,3
92370,280000,47.39,5908,2
92120,233200,22.08,9964,1
92100,175000,18.0,9722,1
92220,279500,41.0,6817,2
92600,203000,28.0,6978,2
92700,289000,70.0,4129,3
92360,220000,54.0,4074,3
92600,259000,32.0,7781,1
92600,239000,63.0,3651,3
92250,204900,25.0,8196,1
92700,170369,30.0,5679,2
92160,99000,18.0,5500,1
92400,295000,63.0,4296,3
92700,149900,33.0,4542,2
92400,169600,20.0,8000,1
92220,200000,29.0,6897,1
92130,275000,35.0,7857,2
92360,234000,62.0,3774,3
92260,224000,38.0,5895,2
92170,250000,30.22,7859,2
92100,199000,23.0,8217,1
92400,110000,17.0,6471,1
92350,250000,59.05,3997,3
92700,199000,26.56,7492,2
92700,270000,52.24,5168,2
92360,237000,56.0,4232,3
92210,285000,37.0,7703,2
92700,200000,52.86,3784,3
92160,231000,52.88,4160,3
92230,196000,55.0,3564,3
92700,170369,30.0,5679,2
92700,250000,74.0,3378,4
92220,260000,44.0,5909,2
92290,255000,57.0,4302,3
92600,140000,25.0,5600,2
92600,190000,28.56,6653,2
92160,270000,46.0,5587,2
92500,269000,36.0,7083,1
92500,297000,46.0,6457,2
92500,232000,28.0,8286,1
92150,238 000 à 277 000 €,24 à 27 m²,8286,1
92320,252 000 à 284 000 €,27 à 31 m²,8286,1
92250,285000,28.0,10200,1
92700,285 001 à 299 147 €,45 à 46 m²,10200,2
92130,299000,23.0,1300,3
92600,285000,47.0,6064,2
92000,180000,27.0,6667,2
92120,249900,30.5,7869,2
92160,292500,67.0,4179,4
92330,207000,32.37,6395,1
92600,285000,34.83,8183,2
92120,289000,48.24,5701,2
92000,300000,49.13,5862,2
92320,299000,58.0,5155,3
92700,260000,68.4,3582,3
92120,255000,34.0,7206,2
92170,269000,22.93,11700,1
92260,265 000 à 299 000 €,32 à 44 m²,11700,1 à 2 pièces
92290,249000,64.0,3891,4
92700,110000,14.45,7612,1
92600,235000,42.0,5595,2
92700,225000,37.0,6081,2
92700,299000,49.42,6050,3
92700,139000,22.0,6318,1
92290,210000,64.0,3281,4
92150,300000,61.0,4918,3
92390,129000,27.0,4778,1
92600,190000,27.55,6897,2
92270,239000,36.0,6639,2
92150,297000,37.1,8005,2
92250,297000,49.0,5878,3
92600,203000,29.85,6533,2
92270,235000,43.0,5465,2
92100,279000,25.12,10600,1
92360,250000,67.0,3731,4
92320,299000,60.0,4983,3
92700,270000,46.0,5870,2
92500,294000,66.56,4207,4
92600,285000,45.0,6017,3
92360,270000,74.0,3649,4
92100,240000,27.0,8889,1
92500,295000,59.0,5000,3
92700,220000,54.08,4068,3
92120,223000,29.23,7629,1
92140,189000,24.74,7276,2
92700,243000,42.71,5690,2
92600,213500,30.0,7117,2
92600,169000,25.0,6760,2
92600,175000,24.0,7292,2
92600,230000,35.0,6571,2
92290,230000,60.0,3833,3
92700,179000,47.36,3780,3
92600,255000,37.0,6892,2
92800,294000,31.0,9484,2
92600,290000,80.0,3625,3
92120,200340,43.0,4395,2
92360,249500,66.0,3780,4
92130,285000,38.0,7246,2
92300,200000,20.0,1000,1
92700,172000,24.0,7167,1
92290,299000,88.0,3256,4
92700,199000,54.0,3685,3
